color,director_name,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,gross,genres,actor_1_name,movie_title,num_voted_users,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,plot_keywords,movie_imdb_link,num_user_for_reviews,language,country,content_rating,budget,title_year,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes,Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response,totalSeasons,Season,Episode,seriesID
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Space Dogs,2010,G,26 Jul 2013,85 min,"Animation, Adventure, Comedy","Inna Evlannikova, Svyatoslav Ushakov","John Chua, Alexander Talal, Vadim Sveshnikov","Anna Bolshova, Elena Yakovleva, Evgeniy Mironov",Schoolbooks say that Belka and Strelka were first space dogs. But the dogs say that people dissemble a lot.,Russian,Russia,1 win,https://m.media-amazon.com/images/M/MV5BMjYwMTIxODA2NF5BMl5BanBnXkFtZTcwMTUyOTY3Mw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.0/10'}]",N/A,5.0,"1,440",tt1272051,movie,22 May 2017,"$14,408",N/A,N/A,True,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,The Counselor,2013,R,25 Oct 2013,117 min,"Crime, Drama, Thriller",Ridley Scott,Cormac McCarthy,"Michael Fassbender, Penélope Cruz, Cameron Diaz","A rich and successful lawyer, the Counselor, is about to get married to his fiancée but soon becomes entangled in a complex drug plot with a middle-man known as Westray. The plan ends up taking a horrible twist and he must protect himself and his soon to be bride as the truth of the drug business is uncovered and targets are eliminated.","English, Spanish, Dutch","United Kingdom, United States",5 wins & 3 nominations,https://m.media-amazon.com/images/M/MV5BMTc3ODk0MTY0N15BMl5BanBnXkFtZTgwOTU2MTEzMDE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '34%'}, {'Source': 'Metacritic', 'Value': '48/100'}]",48,5.4,"102,880",tt2193215,movie,11 Feb 2014,"$16,973,715",N/A,N/A,True,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ironclad,2011,R,26 Jul 2011,121 min,"Action, Drama, History",Jonathan English,"Jonathan English, Erick Kastel, Stephen McDool","Paul Giamatti, Jason Flemyng, Brian Cox","It is the year 1215 and the rebel barons of England have forced their despised King John to put his royal seal to the Magna Carta, a noble, seminal document that upheld the rights of free men. Yet within months of pledging himself to the great charter, the King reneged on his word and assembled a mercenary army on the south coast of England with the intention of bringing the barons and the country back under his tyrannical rule. Barring his way stood the mighty Rochester castle, a place that would become the symbol of the rebels' momentous struggle for justice and freedom.","English, Hungarian, Latin, Danish","United Kingdom, Switzerland, United States, Germany",N/A,https://m.media-amazon.com/images/M/MV5BMjI1NTU2NTI5NV5BMl5BanBnXkFtZTcwNDYzOTI1NQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '42%'}, {'Source': 'Metacritic', 'Value': '42/100'}]",42,6.1,"42,709",tt1233301,movie,26 Jul 2011,N/A,N/A,N/A,True,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Waterloo,1970,G,29 Oct 1970,123 min,"Action, Biography, Drama",Sergey Bondarchuk,"H.A.L. Craig, Sergey Bondarchuk, Vittorio Bonicelli","Rod Steiger, Christopher Plummer, Orson Welles","After defeating France and imprisoning Napoleon on Elba, ending two decades of war, Europe is shocked to find Napoleon has escaped and has caused the French Army to defect from the King back to him. The best of the British generals, the Duke of Wellington, beat Napolean's best generals in Spain and Portugal, but has never faced Napoleon. Wellington stands between Napoleon with a makeshift Anglo-Allied army and the Prussians. A Napoleon victory will plunge Europe back into a long term war. An allied victory could bring long term peace to Europe. The two meet at Waterloo where the fate of Europe will be decided.",English,"Italy, Soviet Union",Won 2 BAFTA 3 wins & 2 nominations total,https://m.media-amazon.com/images/M/MV5BNGQxYzM1ZWUtYjdlMS00M2EyLTg1MmUtNTFmZTE3NGVkMTgyXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '27%'}]",N/A,7.2,"11,026",tt0066549,movie,25 Apr 2006,N/A,N/A,N/A,True,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kung Fu Jungle,2014,Not Rated,24 Apr 2015,100 min,"Action, Crime, Thriller",Teddy Chan,"Teddy Chan, Ho-Leung Lau, Tin Shu Mak","Donnie Yen, Baoqiang Wang, Charlie Yeung","A vicious killer named Fung goes around Hong Kong killing top martial arts exponents and leaving a secret weapon called the Moonshadow as his calling card. When a convicted killer and kung fu expert named Ha - formerly working as a martial arts instructor before accidentally killing a man and being imprisoned and convicted for the crime he didn't intend to do - hears of this, he offers to help the police catch the killer in return for his freedom. With Ha's help, the police realize from the chronological order of the victims that the killer is targeting his victims, all top masters in their respective martial arts style, and following a martial code of training. After a close encounter with Fung, Ha suddenly disappears and the police begin to suspect the worse: that the two are accomplices and Fung was the bait to help spring Ha from jail. But Ha has actually gone back to his home in Foshan to find out more about the mysterious calling card. While doing so, he discovers the killer's identity and his motivation: the true philosophy behind Fung's martial arts is to kill opponents who are weaker than him. Steadfastly, Ha refuses to be drawn into a fight with Fung - until the killer threatens the woman he loves most. Only then does he realize that he would have to go against the martial code in order to uphold it.","Cantonese, Mandarin","China, Hong Kong",6 wins & 13 nominations,https://m.media-amazon.com/images/M/MV5BMTYwMjY5NzcxMl5BMl5BanBnXkFtZTgwODYxNzIxNTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '75%'}, {'Source': 'Metacritic', 'Value': '66/100'}]",66,6.4,"11,413",tt2952602,movie,21 Jul 2015,"$129,784",N/A,N/A,True,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Red Sky,2014,PG-13,13 Mar 2014,100 min,"Action, Thriller",Mario Van Peebles,"Mario Van Peebles, Dave Riggs, Nikolay Suslov","Cam Gigandet, Shane West, Rachael Leigh Cook","Butch 'Cobra' Masters aces his USNAF top gun squad, until they are all disgraced, blamed for an exercise turned tragically wrong as manipulated real-time information made them launch real rockets on a cave hideout for chemical arms. As suggested at court trial, his mates accept to avoid a conviction by applying for a voluntary dismissal, each finding a niche in civilian aircraft. When ambitious Pentagon official John Webster, the former squad's former superior, urgently needs their specialty of strike capacity in the Middle East but can't officially engage troops for diplomatic risks, the team is informally reassembled under promise of full rehabilitation. They are retrieved from placed as far as Moscow, complemented for research with his ex girl friend, now investigative reporter, supposed to prevent chemical weapon Rainmaster falling in the hands of crazy Kurdish militia in Syria, but layers of betrayal cause unforeseen trouble.",English,"United States, Russia",2 nominations,https://m.media-amazon.com/images/M/MV5BMTA0NDY5MTcxNzleQTJeQWpwZ15BbWU4MDk0OTUzOTEx._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.1/10'}]",N/A,4.1,"1,657",tt1946381,movie,10 Mar 2015,N/A,Aldamisa Releasing,N/A,True,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dangerous Liaisons,1988,R,24 Feb 1989,119 min,"Drama, Romance",Stephen Frears,"Christopher Hampton, Choderlos de Laclos","Glenn Close, John Malkovich, Michelle Pfeiffer","In 18th century France, the Marquise de Merteuil and the Vicomte de Valmont play a dangerous game of seduction. Valmont is someone who measures success by the number of his conquests and Merteuil challenges him to seduce the soon to be married Cecile de Volanges and provide proof in writing of his success. His reward for doing so will be to spend the night with Merteuil. He has little difficulty seducing Cecile but what he really wants is to seduce Madame de Tourvel. When Merteuil learns that he has actually fallen in love with her, she refuses to let him claim his reward for seducing Cecile. Death soon follows.",English,"United States, United Kingdom",Won 3 Oscars. 21 wins & 21 nominations total,https://m.media-amazon.com/images/M/MV5BMDZmODc0MWQtYWVjOS00OGFiLWExNjItOTMyN2Q5ZTFmYzUzXkEyXkFqcGdeQXVyMTAwMzUyOTc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '94%'}, {'Source': 'Metacritic', 'Value': '74/100'}]",74,7.6,"71,962",tt0094947,movie,01 May 2001,"$34,670,720",N/A,N/A,True,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,On the Road,2012,R,23 May 2012,124 min,"Adventure, Drama, Romance",Walter Salles,"Jack Kerouac, Jose Rivera","Sam Riley, Garrett Hedlund, Kristen Stewart","Shaken by the death of his father and discouraged by his stalled career, writer Sal Paradise goes on a road trip hoping for inspiration. While traveling, he is befriended by charismatic and fearless Dean Moriarty and Moriarty's free-spirited and seductive young wife, Marylou. Traveling across the American southwest together, they strive to break from conformity and and search the unknown, and their decisions change the very course of their lives.","English, French, Spanish","France, United States, United Kingdom, Mexico, Canada, Argentina",2 wins & 4 nominations,https://m.media-amazon.com/images/M/MV5BMTc1MzU5MDgzMF5BMl5BanBnXkFtZTcwMDQ4ODY2OA@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '45%'}, {'Source': 'Metacritic', 'Value': '56/100'}]",56,6.0,"42,419",tt0337692,movie,06 Aug 2013,"$744,296",N/A,N/A,True,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Star Trek IV: The Voyage Home,1986,PG,26 Nov 1986,119 min,"Action, Adventure, Comedy",Leonard Nimoy,"Gene Roddenberry, Leonard Nimoy, Harve Bennett","William Shatner, Leonard Nimoy, DeForest Kelley","The most acclaimed Star Trek adventure of all time with an important message. It is the 23rd century, and a mysterious alien probe is threatening Earth by evaporating the oceans and destroying the atmosphere. In their frantic attempt to save mankind, Admiral Kirk and his crew must time travel back to 1986 San Francisco where they find a world of punk, pizza and exact-change buses that are as alien to them as anything they have ever encountered in the far-off reaches of the galaxy. William Shatner and Leonard Nimoy return as Kirk and Spock, along with the entire Star Trek crew.","English, Finnish",United States,Nominated for 4 Oscars. 4 wins & 19 nominations total,https://m.media-amazon.com/images/M/MV5BZmU3ZGE3NzEtYTdmYi00YTYxLWIxYTItZGY5YjFlOTA2NWI3XkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '82%'}, {'Source': 'Metacritic', 'Value': '71/100'}]",71,7.3,"87,649",tt0092007,movie,03 Mar 2003,"$109,713,132",N/A,N/A,True,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rocky Balboa,2006,PG,20 Dec 2006,102 min,"Action, Drama, Sport",Sylvester Stallone,Sylvester Stallone,"Sylvester Stallone, Antonio Tarver, Milo Ventimiglia","When he loses a highly publicized virtual boxing match to ex-champ Rocky Balboa, reigning heavyweight titleholder Mason Dixon retaliates by challenging the Itallian Stallion to a nationally televised, 10-round exhibition bout. To the surprise of his son and friends, Rocky agrees to come out of retirement and face an opponent who's faster, stronger and thirty years his junior. With the odds stacked firmly against him, Rocky takes on Dixon in what will become the greatest fight in boxing history, a hard-hitting, action-packed battle of the ages.","English, Spanish",United States,4 nominations,https://m.media-amazon.com/images/M/MV5BNWIyNmQyNjctYmVmMS00MGI4LWIxMmUtNjA0ODYzOTA0Yjk0L2ltYWdlXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '77%'}, {'Source': 'Metacritic', 'Value': '63/100'}]",63,7.1,"222,257",tt0479143,movie,20 Mar 2007,"$70,270,943",N/A,N/A,True,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Point Break,2015,PG-13,25 Dec 2015,114 min,"Action, Adventure, Crime",Ericson Core,"Kurt Wimmer, Rick King, W. Peter Iliff","Edgar Ramírez, Luke Bracey, Ray Winstone","A young FBI agent infiltrates an extraordinary team of extreme sports athletes he suspects of masterminding a string of unprecedented, sophisticated corporate heists. Deep undercover, and with his life in danger, he strives to prove these athletes are the architects of the mind-boggling crimes that are devastating the world's financial markets.","English, French, Spanish","China, Germany, United States, Austria, Italy, Canada",2 wins & 4 nominations,https://m.media-amazon.com/images/M/MV5BMjIxNDkzOTAyNV5BMl5BanBnXkFtZTgwNjEyOTY3NjE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '11%'}, {'Source': 'Metacritic', 'Value': '34/100'}]",34,5.3,"64,057",tt2058673,movie,N/A,"$28,782,481",N/A,N/A,True,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Scream 2,1997,R,12 Dec 1997,120 min,"Horror, Mystery",Wes Craven,Kevin Williamson,"Neve Campbell, Courteney Cox, David Arquette","Two years after the events of Scream, Sidney Prescott and Randy are attending Windsor college. They are trying to get on with their lives...Until a new Ghostface killing spree begins. With the help of Dewey and Gale, Sidney must find out who's behind the murders. As the body count goes up, the list of suspects goes down.",English,United States,8 wins & 13 nominations,https://m.media-amazon.com/images/M/MV5BMTIxNTMzNzYtNzA3NC00MzgwLTlhNGYtMDEyYTNlZjcwZTNiXkEyXkFqcGdeQXVyNDAxNjkxNjQ@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '82%'}, {'Source': 'Metacritic', 'Value': '63/100'}]",63,6.3,"192,753",tt0120082,movie,07 Aug 2001,"$101,363,301",N/A,N/A,True,,,,
