color,director_name,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,gross,genres,actor_1_name,movie_title,num_voted_users,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,plot_keywords,movie_imdb_link,num_user_for_reviews,language,country,content_rating,budget,title_year,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes,Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response,totalSeasons,Error
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Winter Passing,2005,R,15 Jun 2006,98 min,"Comedy, Drama",Adam Rapp,Adam Rapp,"Ed Harris, Zooey Deschanel, Will Ferrell","Actress Reese Holden has been offered a small fortune by a book editor if she can secure for publication the love letters that her father, a reclusive novelist, wrote to her mother, who has since passed away. Returning to Michigan, Reese finds that an ex-grad student and a would-be musician have moved in with her father, who cares more about his new friends than he does about his own health and well-being.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BMTQzMzc2Njk1MV5BMl5BanBnXkFtZTcwODI3NDIzMQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '42%'}, {'Source': 'Metacritic', 'Value': '56/100'}]",56,6.2,"8,603",tt0380817,movie,16 May 2006,"$107,492",N/A,N/A,True,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,D.E.B.S.,2004,PG-13,25 Mar 2005,91 min,"Action, Comedy, Romance",Angela Robinson,Angela Robinson,"Sara Foster, Jordana Brewster, Devon Aoki","Recruited by the U.S. government for their unique ability to lie, cheat and fight, Amy, Max, Janet and Dominique join an underground academy of secret agents known only as D.E.B.S. These crime fighting hotties set out to save the world and keep their lipstick perfectly applied while doing so. Now the girls must combine their skills for their most important mission- to capture vexing vixen Lucy Diamond, the deadliest criminal the world has ever known. When D.E.B.S. star player, Amy, falls for Lucy, chaos erupts and the D.E.B.S. loyalty is put to the test.",English,United States,1 win & 2 nominations,https://m.media-amazon.com/images/M/MV5BMjA0OTU5ODgyOF5BMl5BanBnXkFtZTcwODczNDgyMQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '42%'}, {'Source': 'Metacritic', 'Value': '42/100'}]",42,5.3,"16,581",tt0367631,movie,07 Jun 2005,"$97,446",N/A,N/A,True,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,The Masked Saint,2016,PG-13,22 Jan 2016,105 min,"Action, Biography, Crime",Warren P. Sonoda,"Scott Crowell, Brett Granstaff, Chris Whaley","Brett Granstaff, Lara Jean Chorostecki, T.J. McGibbon","""The Masked Saint"" is based on a true story about one pastor's mission to help his community by risking his identity and returns to his former life as a wrestler. The triumphant story follows one man's journey and struggle between helping others and the consequences he faces doing this.",English,Canada,1 win & 3 nominations,https://m.media-amazon.com/images/M/MV5BMjI0NzU4MjkxNl5BMl5BanBnXkFtZTgwMTYxMTA1NzE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '14%'}, {'Source': 'Metacritic', 'Value': '22/100'}]",22,4.7,727,tt3103166,movie,05 Apr 2016,"$182,695",N/A,N/A,True,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,The Betrayed,2008,R,27 Sep 2008,98 min,"Crime, Drama, Mystery",Amanda Gusack,Amanda Gusack,"Melissa George, Oded Fehr, Christian Campbell","After a car crash, Jamie, 30, comes to, locked in a room at a factory. Her son, a diabetic, is missing. A man wearing a ski mask comes into the room and tells her that she must help him find her husband who has stolen millions from his boss. He says her husband is a killer and a drug trafficker. Jamie is certain it's a mistake. Her captor insists she help him or lose her son. He brings her audio tapes made in their apartment demanding she figure out how her husband was communicating with an accomplice. She has only 12 hours before she and her son will die. Can she force herself to believe that she has been betrayed - and then what? There's no way out, yet she resolves to save her son.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BMTQ2OTc3MDM2NV5BMl5BanBnXkFtZTcwODY1MTk5Mw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.9/10'}]",N/A,5.9,"2,394",tt1074191,movie,30 Jun 2009,N/A,N/A,N/A,True,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Taxman,1998,R,17 Sep 1999,104 min,"Action, Comedy, Crime",Avi Nesher,"Avi Nesher, Roger H. Berger","Joe Pantoliano, Wade Dominguez, Elizabeth Berkley",A tax investigator chasing a tax evader stumbles over a series of bloody murders and gets involved in an investigation with a rookie cop despite his boss' orders to stay out of the way.,"English, Russian",United States,N/A,https://m.media-amazon.com/images/M/MV5BM2RkNmYwMjItNTY0ZS00ZWQ1LWFlODYtZGUxOGNiYjI3ZmVmXkEyXkFqcGdeQXVyMzU0NzkwMDg@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.5/10'}, {'Source': 'Metacritic', 'Value': '48/100'}]",48,5.5,466,tt0138862,movie,N/A,"$9,871",N/A,N/A,True,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,The Secret,2016,TV-MA,29 Apr 2016,1 min,"Biography, Drama, Thriller",N/A,N/A,"James Nesbitt, Genevieve O'Reilly, Patrick O'Kane","The Secret is the story of a real-life double murder. James Nesbitt plays Colin Howell, a respectable dentist and pillar of the community, who became a killer in partnership with a Sunday school teacher, Hazel Buchanan, played by Genevieve OReilly.",English,United Kingdom,Nominated for 1 BAFTA Award1 win & 4 nominations total,https://m.media-amazon.com/images/M/MV5BZmIxNDY1YjItYjAwYi00YjYxLTg4YTktOGI2NDM2YjUxOTJkXkEyXkFqcGdeQXVyMjExMjk0ODk@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}]",N/A,7.2,"3,294",tt5116280,series,,,,,True,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2:13,2009,Not Rated,25 Apr 2009,96 min,"Drama, Mystery, Thriller",Charles Adelman,Mark Thompson,"Mark Thompson, Mark Pellegrino, Teri Polo","A police profiler has just returned from psychiatric leave only to find that he is caught up in a serial killer's rampage. Fighting to keep buried the trauma of his childhood, he must confront the all too-familiar flesh masks that the killer leaves on the faces of his victims. He must face his own demons along with the killer to save his small eroding existence.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BMjAxNjU2OTQwNV5BMl5BanBnXkFtZTcwNjM0MTM1MQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.8/10'}]",N/A,4.8,"1,235",tt1002561,movie,07 Jun 2011,N/A,N/A,N/A,True,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Batman: The Dark Knight Returns, Part 2",2013,PG-13,29 Jan 2013,76 min,"Animation, Action, Crime, Drama, Horror, Sci-Fi, Thriller",Jay Oliva,"Bob Kane (character created by: Batman), Jerry Siegel (character created by: Superman), Joe Shuster (character created by: Superman), Frank Miller (comic book), Klaus Janson (comic book), Bob Goodman","Peter Weller, Ariel Winter, Michael Emerson, David Selby","After a 10 year absence, the Dark Knight has returned to Gotham to fight the Mutant threat. After defeating the mutants, he has taken control of a gang loyal to him in order to make Gotham a safer place. But, the Joker has decided to stop this, and fights against Batman in a deadly duel. Meanwhile, the Man of Steel is ordered to stop the Dark Knight because the government believes that his ways are wrong. As Batman fights the Joker, the Man of Steel prepares for his greatest fight.",English,USA,1 win & 1 nomination.,https://m.media-amazon.com/images/M/MV5BYTEzMmE0ZDYtYWNmYi00ZWM4LWJjOTUtYTE0ZmQyYWM3ZjA0XkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.4/10'}]",N/A,8.4,"47,412",tt2166834,movie,29 Jan 2013,N/A,N/A,N/A,True,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Time to Choose,2015,Not Rated,03 Jun 2016,100 min,Documentary,Charles Ferguson,"Chad Beck, Charles Ferguson","Oscar Isaac, Peter Agnefjall, Tasso Azevedo","Academy Award®-Winning documentary filmmaker Charles Ferguson (Inside Job, No End in Sight) turns his lens to address worldwide climate change challenges and solutions in his new film TIME TO CHOOSE. Featuring narration by award-winning actor Oscar Isaac, TIME TO CHOOSE leaves audiences understanding not only what is wrong, but what can to be done to fix this global threat. Ferguson explores the comprehensive scope of the climate change crisis and examines the power of solutions already available. Through interviews with world-renowned entrepreneurs, innovators, thought leaders and brave individuals living on the front lines of climate change, Ferguson takes an In-depth look at the remarkable people working to save our planet.",English,United States,1 nomination,https://m.media-amazon.com/images/M/MV5BNzQwOTk2OTI1N15BMl5BanBnXkFtZTgwNTIyMjU3ODE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '86%'}, {'Source': 'Metacritic', 'Value': '75/100'}]",75,7.5,273,tt5001130,movie,12 Mar 2017,"$29,233",N/A,N/A,True,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,In the Name of the King: The Last Mission,2014,R,26 Feb 2014,86 min,"Action, Adventure, Fantasy",Uwe Boll,Joel Ross,"Dominic Purcell, Ralitsa Paskaleva, Daria Simeonova",Dominic Purcell transforms from modern-day hitman to medieval warrior in this action-packed adventure inspired by the video game series Dungeon Siege. Experience all the mind-blowing special effects that bring the nonstop action to life. A contract killer is transported back to the middle ages where he must fight a massive army - and a fire-breathing dragon - in an all-out battle for survival!,English,"Canada, Germany, Pakistan",N/A,https://m.media-amazon.com/images/M/MV5BZWZhOWI0NGQtMDI2My00OGUxLWE2NjYtNDBjNzQ4YjJkMGQxXkEyXkFqcGdeQXVyMjQwMjk0NjI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '3.0/10'}]",N/A,3.0,"2,316",tt2379386,movie,07 Apr 2014,N/A,Fox,N/A,True,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wicked Blood,2014,Not Rated,04 Mar 2014,92 min,"Action, Crime, Drama, Thriller",Mark Young,Mark Young,"Abigail Breslin, Sean Bean, James Purefoy, Alexa PenaVega","Hannah Lee Baker is a bright teen girl trapped in the dark Southern underworld of violence and guns, meth labs and vicious biker gangs, and whose only refuge is chess. She lives with Amber, her older sister; and her uncle Donny, an addict. All live in fear of Uncle Frank Stinson, who runs the illegal family business with an iron fist, aided by his psychotic younger brother Bobby. Things change for the worse when Amber falls in love with Wild Bill, a meth trafficker who finds himself at war with Frank. Hannah realizes the only way to save her family is by cleverly scheming to pit one pawn against another in a cunning chess game.",English,USA,1 nomination.,https://m.media-amazon.com/images/M/MV5BZTVmMzMyMTktMjk1MS00OGRjLTljZTQtMTc4OGQxZjI4YjI2XkEyXkFqcGdeQXVyOTQ0MDAwMjM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.4/10'}]",N/A,5.4,"2,508",tt2761578,movie,04 Mar 2014,N/A,N/A,N/A,True,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dawn Patrol,2014,Not Rated,05 Jun 2015,88 min,"Drama, Thriller",Daniel Petrie Jr.,"Rachel Long, Brian Pittman","Scott Eastwood, Rita Wilson, Kim Matula","When a blue-collar surfer avenges his brother's murder, he discovers he killed the wrong man by mistake and joins the Marines to escape his past, only to face it at gunpoint upon his return to the US, when he must survive a grieving mother bent on revenge.",English,United States,1 nomination,https://m.media-amazon.com/images/M/MV5BMjM2MjAyMDc0OV5BMl5BanBnXkFtZTgwMzc5MTQxNTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '0%'}, {'Source': 'Metacritic', 'Value': '24/100'}]",24,4.7,829,tt2073661,movie,14 Jul 2015,N/A,N/A,N/A,True,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lords of London,2014,R,01 Sep 2015,90 min,"Crime, Mystery, Thriller",Antonio Simoncini,Antonio Simoncini,"Glen Murphy, Ray Winstone, Serena Iansiti","London gangster, Tony Lord, is the son of the notoriously ruthless, Terry Lord (Ray Winstone). After a standard shake down goes awry, Tony must confront his father's past in order to alter the gritty, abusive path that his life is spiraling down.","English, Italian",United Kingdom,N/A,https://m.media-amazon.com/images/M/MV5BMTk5Nzc3NjkyMl5BMl5BanBnXkFtZTgwODQ0NjY4MDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '3.2/10'}]",N/A,3.2,838,tt1800337,movie,01 Sep 2015,N/A,N/A,N/A,True,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,High Anxiety,1977,PG,25 Dec 1977,94 min,"Comedy, Mystery, Thriller",Mel Brooks,"Mel Brooks, Ron Clark, Rudy De Luca","Mel Brooks, Madeline Kahn, Cloris Leachman","Dr. Richard Thorndyke arrives as new administrator of the Psychoneurotic Institute for the Very, VERY Nervous to discover some suspicious goings-on. When he's framed for murder, Dr. Thorndyke must confront his own psychiatric condition, ""high anxiety,"" in order to clear his name. An homage to the films of Alfred Hitchcock; contains many parodies of famous Hitchcock scenes from THE BIRDS, PSYCHO, and VERTIGO.",English,United States,2 nominations,https://m.media-amazon.com/images/M/MV5BODM5NjczZWEtOTc4ZS00NTI4LWJiMGEtNzY4YzFlYmNjY2NmXkEyXkFqcGdeQXVyMTI1NDQ4NQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '73%'}, {'Source': 'Metacritic', 'Value': '55/100'}]",55,6.6,"22,834",tt0076141,movie,04 Apr 2006,"$31,063,038",N/A,N/A,True,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,March of the Penguins,2005,G,22 Jul 2005,80 min,"Documentary, Family",Luc Jacquet,"Luc Jacquet, Michel Fessler, Jordan Roberts","Morgan Freeman, Romane Bohringer, Charles Berling","At the end of each Antarctic summer, the emperor penguins of the South Pole journey to their traditional breeding grounds in a fascinating mating ritual that is captured in this documentary by intrepid filmmaker Luc Jacquet. The journey across frozen tundra proves to be the simplest part of the ritual, as after the egg is hatched, the female must delicately transfer it to the male and make her way back to the distant sea to nourish herself and bring back food to her newborn chick.",French,France,Won 1 Oscar. 22 wins & 15 nominations total,https://m.media-amazon.com/images/M/MV5BMTM1NDc5MDYxMl5BMl5BanBnXkFtZTcwMjMzNDAzMQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '94%'}, {'Source': 'Metacritic', 'Value': '79/100'}]",79,7.5,"58,766",tt0428803,movie,29 Nov 2005,"$77,437,223",N/A,N/A,True,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Margin Call,2011,R,29 Sep 2011,107 min,"Drama, Thriller",J.C. Chandor,J.C. Chandor,"Zachary Quinto, Stanley Tucci, Kevin Spacey","A respected financial company is downsizing, and one of the victims is the risk-management division head, who was working on a major analysis just when he was let go. His protégé completes the study late into the night, then frantically calls his colleagues in about the company's financial disaster he has discovered. What follows is a long night of panicked double-checking and double-dealing as the senior management prepare to do whatever it takes to mitigate the coming debacle even as the handful of conscientious comrades find themselves dragged along into the unethical abyss.",English,United States,Nominated for 1 Oscar. 8 wins & 24 nominations total,https://m.media-amazon.com/images/M/MV5BMjE5NzkyNDI2Nl5BMl5BanBnXkFtZTcwMTYzNDc2Ng@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '87%'}, {'Source': 'Metacritic', 'Value': '76/100'}]",76,7.1,"136,509",tt1615147,movie,20 Dec 2011,"$5,354,039",N/A,N/A,True,,
