color,director_name,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,gross,genres,actor_1_name,movie_title,num_voted_users,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,plot_keywords,movie_imdb_link,num_user_for_reviews,language,country,content_rating,budget,title_year,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes,Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response,totalSeasons
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Home,2015,PG,27 Mar 2015,94 min,"Animation, Adventure, Comedy",Tim Johnson,"Tom J. Astle, Matt Ember, Adam Rex","Jim Parsons, Rihanna, Steve Martin","When Oh, a loveable misfit from another planet, lands on Earth and finds himself on the run from his own people, he forms an unlikely friendship with an adventurous girl named Tip who is on a quest of her own. Through a series of comic adventures with Tip, Oh comes to understand that being different and making mistakes is all part of being human. And while he changes her planet and she changes his world, they discover the true meaning of the word HOME.","English, French",United States,3 wins & 10 nominations,https://m.media-amazon.com/images/M/MV5BMjExOTQ4MDMyMV5BMl5BanBnXkFtZTgwMTE3NDM2MzE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '52%'}, {'Source': 'Metacritic', 'Value': '55/100'}]",55,6.6,"104,881",tt2224026,movie,28 Jul 2015,"$177,397,510",N/A,N/A,True,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Legend of Kung Fu Rabbit,2011,PG,11 Jul 2011,89 min,"Animation, Action, Adventure","Lijun Sun, Melanie Simka","Melanie Simka, Mychal Simka, Jingzhi Zou","Jon Heder, Tom Arnold, Rebecca Black","Fu is telepathically given the ultimate kung fu power after rescuing a martial arts master from a fatal attack with the promise that he would return the tablet to his daughter, Penny.","Mandarin, English","China, United States",4 wins & 1 nomination,https://m.media-amazon.com/images/M/MV5BMTc5NTc5OTM1M15BMl5BanBnXkFtZTcwMjgyNzE2OQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '3.2/10'}]",N/A,3.2,647,tt1876517,movie,N/A,N/A,N/A,N/A,True,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Space Battleship Yamato,2010,TV-14,01 Dec 2010,138 min,"Action, Adventure, Drama",Takashi Yamazaki,"Leiji Matsumoto, Shimako Sato, Yoshinobu Nishizaki","Takuya Kimura, Meisa Kuroki, Toshirô Yanagiba","In 2199, five years after the Gamilas launch attacks on Earth, the planet has been ravaged by the aliens' radiation bombs and the remnants of humanity have moved underground. One day, former pilot Susumu Kodai discovers a message capsule sent from the planet Iskandar that tells of a device that can remove the radiation from the Earth's surface. The United Nations of Space Administration rebuilds the battleship Yamato, with a new type of propulsion system - the Wave Motion Engine. This enables her to make the long voyage to Iskandar and back in hopes of saving the Earth. Within 73 days, the radiation will drive the rest of humanity to extinction and the Gamilas will inhabit the Earth.",Japanese,Japan,1 win & 1 nomination,https://m.media-amazon.com/images/M/MV5BYWY1MGU0NjktNjFlZC00NDk1LTg4MjgtMWQ2YzVmMDI1YWQ4XkEyXkFqcGdeQXVyMTA3NTQwNDU4._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}]",N/A,6.0,"6,223",tt1477109,movie,29 Apr 2014,N/A,N/A,N/A,True,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,5 Days of War,2011,R,06 Jun 2011,113 min,"Action, Drama, War",Renny Harlin,"Mikko Alanne, David Battle","Rupert Friend, Emmanuelle Chriqui, Richard Coyle","A drama set centered around the war between Russia and Georgia, and focused on an American journalist, his cameraman, and a Georgian native who become caught in the crossfire.",English,"Georgia, United States",N/A,https://m.media-amazon.com/images/M/MV5BMTM2Nzg0NDg4NV5BMl5BanBnXkFtZTcwNTEyODQ4NQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '34%'}, {'Source': 'Metacritic', 'Value': '31/100'}]",31,5.6,"14,063",tt1486193,movie,29 Nov 2011,"$17,479",N/A,N/A,True,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Triangle,2009,R,16 Oct 2009,99 min,"Fantasy, Mystery, Sci-Fi",Christopher Smith,Christopher Smith,"Melissa George, Joshua McIvor, Jack Taylor","When Jess sets sail on a yacht with a group of friends, she cannot shake the feeling that there is something wrong. Her suspicions are realized when the yacht hits a storm and the group is forced to board a passing ocean liner to get to safety, a ship Jess is convinced she's been on before. The ship appears deserted, the clock on board has stopped, but they are not alone... Someone is intent on hunting them down, one by one. And Jess unknowingly holds the key to end the terror.",English,"United Kingdom, Australia",1 win & 5 nominations,https://m.media-amazon.com/images/M/MV5BY2VlODI5ZmMtZDExYS00OWI4LWJiMWItZWZkZWRkNzlmZWI2XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '80%'}]",N/A,6.9,"119,701",tt1187064,movie,02 Feb 2010,N/A,N/A,N/A,True,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,10 Days in a Madhouse,2015,R,11 Nov 2015,111 min,Drama,Timothy Hines,Timothy Hines,"Caroline Barry, Christopher Lambert, Kelly LeBrock","In 1887, at age 23, reporter Nellie Bly, working for Joseph Pulitzer, feigns mental illness to go undercover in notorious Blackwell's Island a woman's insane asylum to expose corruption, abuse and murder.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BOTI3MDU4ODc2OF5BMl5BanBnXkFtZTgwNzYwMjY1NjE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}]",N/A,5.8,"2,800",tt3453052,movie,28 Jul 2016,"$14,616",N/A,N/A,True,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Heaven Is for Real,2014,PG,16 Apr 2014,99 min,"Biography, Drama, Family",Randall Wallace,"Randall Wallace, Chris Parker, Todd Burpo","Greg Kinnear, Kelly Reilly, Thomas Haden Church",This is the story of a small-town father who must find the courage and conviction to share his son Colton's extraordinary life-changing experience with the world. Colton claims to have visited Heaven during a near-death experience. Colton recounts the details of his amazing journey with childlike innocence and speaks matter-of-factly about things that happened before his birth - things he couldn't possibly know. Todd and his family are challenged to examine the meaning of this remarkable event. The church turns on him and so does everyone who is close to him - including his wife.,English,United States,1 win & 5 nominations,https://m.media-amazon.com/images/M/MV5BNjc3MzYzMTUzNF5BMl5BanBnXkFtZTgwNTYzNzI2MDE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '51%'}, {'Source': 'Metacritic', 'Value': '47/100'}]",47,5.8,"27,657",tt1929263,movie,22 Jul 2014,"$91,443,253",N/A,N/A,True,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Snatch,2000,R,19 Jan 2001,102 min,"Comedy, Crime",Guy Ritchie,Guy Ritchie,"Jason Statham, Brad Pitt, Stephen Graham","Turkish and his close friend/accomplice Tommy get pulled into the world of match fixing by the notorious Brick Top. Things get complicated when the boxer they had lined up gets badly beaten by Mickey, who comes into the equation after Turkish, an unlicensed boxing promoter wants to buy a caravan off of Travellers. They then try to convince Mickey not only to fight for them, but to lose for them too. Whilst all this is going on, a huge diamond heist takes place, and a fistful of motley characters enter the story, including 'Cousin Avi', 'Boris The Blade', 'Franky Four Fingers' and 'Bullet Tooth Tony'. Things go from bad to worse as it all becomes about the money, the guns, and the damned dog.","English, Russian","United Kingdom, United States",4 wins & 7 nominations,https://m.media-amazon.com/images/M/MV5BMTA2NDYxOGYtYjU1Mi00Y2QzLTgxMTQtMWI1MGI0ZGQ5MmU4XkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '74%'}, {'Source': 'Metacritic', 'Value': '55/100'}]",55,8.2,"865,121",tt0208092,movie,06 May 2003,"$30,328,156",N/A,N/A,True,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dancin': It's on!,2015,PG,30 Oct 2015,89 min,"Family, Musical, Romance",David Winters,"David A. Prior, David Winters","Ava Fabian, David Winters, Gary Daniels","This coming-of-age dance film in the spirit of Dirty Dancing, Karate Kid, and High School Musical, is about Jennifer, a young girl from Beverly Hills who is visiting her father's Panama Beach Hotel during summer break and falls in love with Ken, who works as a dishwasher there. They're from different backgrounds but share a passion for dance and they couple up to enter the 2nd Annual Florida State-Wide Dance Contest. While preparing for the contest, Jennifer and Ken must overcome scheming dance partners, a meddling father, and their own doubts for their love to prevail.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BMTgzNDE2MjYxOF5BMl5BanBnXkFtZTgwMzY2NDAyNzE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '2.4/10'}]",N/A,2.4,"1,113",tt2598580,movie,12 Apr 2016,N/A,N/A,N/A,True,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pet Sematary,1989,R,21 Apr 1989,103 min,"Fantasy, Horror, Thriller",Mary Lambert,Stephen King,"Dale Midkiff, Denise Crosby, Fred Gwynne","Eager to start afresh, the young doctor, Louis Creed, and his family--his wife, Rachel, their daughter, Ellie, and their three-year-old toddler, Gage--move to their new home in the small rural town of Ludlow, Maine, alarmingly close to a busy highway. However, after the inadvertent death of Rachel's cherished tomcat in an awful accident, reluctantly, a desperate Louis will take his friendly neighbour's advice to bury it in an ancient Micmac graveyard: a mystical burial ground imbued with alleged reanimating powers. Now, despite the terrible results and the insistent warnings from a recently deceased, tragedy-stricken Louis has no other choice but to go back to the Indian cemetery, in high hopes that, this time, things will be different. Nevertheless, can the dead truly return from the grave?",English,United States,1 win & 6 nominations,https://m.media-amazon.com/images/M/MV5BYjBlNTBhYWQtMzg5Yi00NDA2LWJmMjYtZmM0ODhiYzkwYmY5XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '51%'}, {'Source': 'Metacritic', 'Value': '38/100'}]",38,6.5,"107,641",tt0098084,movie,26 Sep 2006,"$57,469,467",N/A,N/A,True,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Madadayo,1993,N/A,17 Apr 1993,134 min,Drama,"Akira Kurosawa, Ishirô Honda","Ishirô Honda, Akira Kurosawa, Hyakken Uchida","Tatsuo Matsumura, Hisashi Igawa, George Tokoro","This film tells the story of professor Uehida Hyakken-sama (1889-1971), in Gotemba, around the forties. He was a university professor until an air raid, when he left to become a writer and has to live in a hut. His mood has hardly changed, not by the change nor by time. Every year his students celebrate his birthday, issuing the question ""Mahda kai?"" (not yet?), just to hear Uehida-san's answer ""Madada yo!"" (No, not yet!), in a ritual of self affirmation, and desires of lasting forever. It's a very ""japanese"" film who portrays everyday life and customs in Japan.","Japanese, English",Japan,6 wins & 4 nominations,https://m.media-amazon.com/images/M/MV5BZmVhYWNkZjMtYzMyNC00NGNiLTg3ZGUtODQ4MjE4M2U3YjViXkEyXkFqcGdeQXVyMTIyNzY1NzM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '87%'}, {'Source': 'Metacritic', 'Value': '76/100'}]",76,7.3,"5,837",tt0107474,movie,N/A,N/A,N/A,N/A,True,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,The Cry of the Owl,2009,R,19 Aug 2009,100 min,"Drama, Thriller",Jamie Thraves,"Jamie Thraves, Patricia Highsmith","Paddy Considine, Julia Stiles, Karl Pruner","A young woman becomes inexplicably attracted to a man who is stalking her. When her boyfriend goes missing, the stalker is the immediate suspect, until a game of jealousy and betrayal turns deadly.",English,"Canada, Germany, France, United Kingdom, United States",N/A,https://m.media-amazon.com/images/M/MV5BNTMyYWFjNTUtMDJmNS00MzM5LWE2MjgtNWM0OGNiODk3Zjc2XkEyXkFqcGdeQXVyNjU0NTI0Nw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '11%'}]",N/A,5.9,"4,889",tt1034302,movie,08 Jun 2010,N/A,N/A,N/A,True,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,A Tale of Three Cities,2015,N/A,28 Aug 2015,130 min,"Drama, Romance",Mabel Cheung,"Mabel Cheung, Alex Law","Ching Wan Lau, Tang Wei, Hailu Qin","A Hong Kong war romantic film set in World War II based on the real-life story of Jackie Chan's parents, Charles and Lee-Lee Chan.",Mandarin,China,1 win & 5 nominations,https://m.media-amazon.com/images/M/MV5BOWYwMTc2NWItM2Q4ZS00ZmRjLTkxYTUtZjdjNDNkNTM5MThhXkEyXkFqcGdeQXVyNDY2NTc1ODY@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '43%'}]",N/A,6.0,287,tt3682770,movie,N/A,N/A,N/A,N/A,True,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gremlins,1984,PG,08 Jun 1984,106 min,"Comedy, Fantasy, Horror",Joe Dante,Chris Columbus,"Zach Galligan, Phoebe Cates, Hoyt Axton","Minature green monsters tear through the small town of Kingston Falls. Hijinks ensue as a mild-mannered bank teller releases these hideous loonies after gaining a new pet and violating two of three simple rules: No water (violated), no food after midnight (violated), and no bright light. Hilarious mayhem and destruction in a town straight out of Norman Rockwell. So, when your washing machine blows up or your TV goes on the fritz, before you call the repair man, turn on all the lights and look under all the beds. 'Cause you never can tell, there just might be a gremlin in your house.","English, Spanish",United States,8 wins & 6 nominations,https://m.media-amazon.com/images/M/MV5BZDNlZWYyNTctMDk0Ni00MGI2LWFlOTQtY2M0YWZkZDY4ZjJiXkEyXkFqcGdeQXVyNjc5NjEzNA@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '86%'}, {'Source': 'Metacritic', 'Value': '70/100'}]",70,7.3,"232,370",tt0087363,movie,21 Aug 2001,"$153,642,180",N/A,N/A,True,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Star Wars: Episode IV - A New Hope,1977,PG,25 May 1977,121 min,"Action, Adventure, Fantasy",George Lucas,George Lucas,"Mark Hamill, Harrison Ford, Carrie Fisher","The Imperial Forces, under orders from cruel Darth Vader, hold Princess Leia hostage in their efforts to quell the rebellion against the Galactic Empire. Luke Skywalker and Han Solo, captain of the Millennium Falcon, work together with the companionable droid duo R2-D2 and C-3PO to rescue the beautiful princess, help the Rebel Alliance and restore freedom and justice to the Galaxy.",English,United States,Won 6 Oscars. 64 wins & 30 nominations total,https://m.media-amazon.com/images/M/MV5BOTA5NjhiOTAtZWM0ZC00MWNhLThiMzEtZDFkOTk2OTU1ZDJkXkEyXkFqcGdeQXVyMTA4NDI1NTQx._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '93%'}, {'Source': 'Metacritic', 'Value': '90/100'}]",90,8.6,"1,382,501",tt0076759,movie,06 Dec 2005,"$460,998,507",N/A,N/A,True,
