color,director_name,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,gross,genres,actor_1_name,movie_title,num_voted_users,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,plot_keywords,movie_imdb_link,num_user_for_reviews,language,country,content_rating,budget,title_year,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes,Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response,totalSeasons
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Free State of Jones,2016,R,24 Jun 2016,139 min,"Action, Biography, Drama",Gary Ross,"Gary Ross, Leonard Hartman","Matthew McConaughey, Gugu Mbatha-Raw, Mahershala Ali","Set during the Civil War, Free State of Jones tells the story of defiant Southern farmer, Newt Knight, and his extraordinary armed rebellion against the Confederacy. Banding together with other small farmers and local slaves, Knight launched an uprising that led Jones County, Mississippi to secede from the Confederacy, creating a Free State of Jones. Knight continued his struggle into Reconstruction, distinguishing him as a compelling, if controversial, figure of defiance long beyond the War.",English,"United States, China",3 wins & 4 nominations,https://m.media-amazon.com/images/M/MV5BMTA4NTYyMTcwNTFeQTJeQWpwZ15BbWU4MDI0NTg0MDkx._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '47%'}, {'Source': 'Metacritic', 'Value': '53/100'}]",53,6.9,"59,327",tt1124037,movie,20 Sep 2016,"$20,810,036",N/A,N/A,True,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,The Life of David Gale,2003,R,21 Feb 2003,130 min,"Crime, Drama, Thriller",Alan Parker,Charles Randolph,"Kevin Spacey, Kate Winslet, Laura Linney","When anti-death-penalty activist David Gale is convicted and condemned to death for the murder of a colleague, reporter Bitsey Bloom sets out to learn the story behind Gale's crime. What she finds challenges her belief in Gale's guilt and, finally, in the justice system.","English, Spanish","United Kingdom, Germany, Spain, United States",3 nominations,https://m.media-amazon.com/images/M/MV5BMTAxMzU0NTgxNzZeQTJeQWpwZ15BbWU2MDQzNDkxNw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '19%'}, {'Source': 'Metacritic', 'Value': '31/100'}]",31,7.5,"122,449",tt0289992,movie,18 Jan 2005,"$19,955,598",N/A,N/A,True,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Man of the House,2005,PG-13,25 Feb 2005,100 min,"Comedy, Crime",Stephen Herek,"John J. McLaughlin, Scott Lobdell, Robert Ramsey","Tommy Lee Jones, Christina Milian, Kelli Garner","When a key informant against a notorious crime boss is assassinated, the only witnesses to his murder are five lively cheerleaders from the University of Texas: Barb, Anne, Evie, Heather, and Teresa. With the girls' lives in danger until the authorities discover the killer, the hard-headed Texas Ranger, Roland Sharp, has to go undercover and move in with them at a secret safe house, as the mysterious murderer is still at large. However, to effectively protect the teenage quintet of eyewitnesses, Sharp must first lay down the ground rules for a harmonious, and above all, safe coexistence. Will the man of the house succeed in his mission?",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BODY3Nzg2NDQ5Ml5BMl5BanBnXkFtZTcwOTQ5MDgyMQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '9%'}, {'Source': 'Metacritic', 'Value': '35/100'}]",35,5.4,"24,470",tt0331933,movie,19 Jul 2005,"$19,699,706",N/A,N/A,True,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Run All Night,2015,R,13 Mar 2015,114 min,"Action, Crime, Thriller",Jaume Collet-Serra,Brad Ingelsby,"Liam Neeson, Ed Harris, Joel Kinnaman","Professional Brooklyn hit-man Jimmy Conlon is more commonly known as THE GRAVEDIGGER. Jimmy was a mob hit-man, who was best friends with his boss Sean Maguire. But when Jimmy's son, Michael, is marked for death by the mob, Jimmy must go up against Sean to protect Michael at all costs. Together, he and Michael must avoid corrupt cops, contract killers and the mob to survive the night.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BMTU2ODI3ODEyOV5BMl5BanBnXkFtZTgwMTM3NTQzNDE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '59%'}, {'Source': 'Metacritic', 'Value': '59/100'}]",59,6.6,"111,091",tt2199571,movie,16 Jun 2015,"$26,461,644",N/A,N/A,True,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eastern Promises,2007,R,21 Sep 2007,100 min,"Crime, Drama, Thriller",David Cronenberg,Steven Knight,"Naomi Watts, Viggo Mortensen, Armin Mueller-Stahl","THIS SUMMARY CONTAINS SPOILERS. - In London, the Russian pregnant teenager Tatiana arrives bleeding in a hospital, and the doctors save her baby only. The Russian descendant midwife Anna Khitrova finds Tatiana's diary written in Russian language in her belongings and decided to find her family to deliver the baby, she brings the diary home and ask her uncle Stepan to translate the document. Stepan refuses, but Anna finds a card of a restaurant owned by the Russian Semyon inside the diary and she visits the old man trying to find a lead to contact Tatiana's family. When she mentions the existence of the diary, Semyon immediately offers to translate the document. However, Stepan translates part of the diary and Anna discovers that Semyon and his sick son Kirill had raped Tatiana when she was fourteen years old and forced her to work as prostitute in a brothel of their own. Further, Semyon is the dangerous boss of the Russian mafia ""Vory v Zakone"", jeopardizing the safety of Anna and her family. Meanwhile, Semyon's driver Nikolai Luzhin gets close to Kirill and Semyon, climbing positions in the criminal organization, but he helps Anna, her family and the baby.","English, Russian, Turkish, Urdu","United Kingdom, Canada, United States",Nominated for 1 Oscar. 28 wins & 74 nominations total,https://m.media-amazon.com/images/M/MV5BMTcwMzU0OTY3NF5BMl5BanBnXkFtZTYwNzkwNjg2._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '89%'}, {'Source': 'Metacritic', 'Value': '83/100'}]",83,7.6,"247,975",tt0765443,movie,26 Dec 2007,"$17,266,000",N/A,N/A,True,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Into the Blue,2005,PG-13,30 Sep 2005,110 min,"Action, Adventure, Crime",John Stockwell,Matt Johnson,"Paul Walker, Jessica Alba, Scott Caan","Down on his luck and perpetually impecunious, the experienced deep-sea diver, Jared, and his theme-park guide girlfriend, Sam, lead an idyllic and simple life in the sun-drenched Bahamas. Dreaming of striking gold, the couple along with Jared's solicitor friend, Bryce, and his new lover, Amanda, set sails for the vast ocean on a rickety boat, to claim ownership of a sunken pirate treasure of inestimable value lying next to a wrecked fuselage crammed with watertight cocaine bricks. Before long, the temptation to get their hands on easy money will lead to a dangerous head-on collision with the murderous local drug lords, as the team gets sucked deeper and deeper into an unexpected adventure amid the blue and shark-infested Bahamian waters. But, will the sea give away its riches so easily?",English,United States,1 win & 2 nominations,https://m.media-amazon.com/images/M/MV5BMmVlM2FhODYtOWFhZi00YmE5LWIwNWUtZDMxNTlkNDgxNTA0XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '21%'}, {'Source': 'Metacritic', 'Value': '45/100'}]",45,5.9,"77,633",tt0378109,movie,26 Dec 2005,"$18,801,234",N/A,N/A,True,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,The Messenger: The Story of Joan of Arc,1999,R,12 Nov 1999,148 min,"Adventure, Biography, Drama",Luc Besson,"Andrew Birkin, Luc Besson","Milla Jovovich, John Malkovich, Rab Affleck","1429. While the war between France and England (the Hundred Years War) appeared settled in 1420, in England's favour, the death of King Henry V of England reignites it. England occupies large areas of France and appears set to take the whole of it. Into this moment of crisis rides legendary Joan of Arc, a teenage girl who claims to be lead by divine visions.","English, Latin","France, Czech Republic, United States",5 wins & 13 nominations,https://m.media-amazon.com/images/M/MV5BZmIyYzliMjEtMjY5MC00YzFlLWI4ZjktMWYwMTA2NjEzODA0XkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '32%'}, {'Source': 'Metacritic', 'Value': '54/100'}]",54,6.4,"67,777",tt0151137,movie,04 Apr 2000,"$14,276,317",N/A,N/A,True,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Your Highness,2011,R,08 Apr 2011,102 min,"Action, Adventure, Comedy",David Gordon Green,"Danny McBride, Ben Best","Danny McBride, Natalie Portman, James Franco","Throughout history, tales of chivalry have burnished the legends of brave, handsome knights who rescue fair damsels, slay dragons and conquer evil. But behind many a hero is a good-for-nothing younger brother trying just to stay out of the way of those dragons, evil and trouble in general. As two princes on a daring mission to save their land, they must rescue the heir apparent's fiancée before their kingdom is destroyed. Thadeous (McBride) has spent his life watching his perfect older brother Fabious (Franco) embark upon valiant journeys and win the hearts of his people. Tired of being passed over for adventure, adoration and the throne, he's settled for a life of wizard's weed, hard booze and easy maidens. But when Fabious' bride-to-be, Belladonna (Zooey Deschanel), gets kidnapped by the evil wizard Leezar (Justin Theroux), the king gives his deadbeat son an ultimatum: Man up and help rescue her or get cut off. Half-assedly embarking upon his first quest, Thadeous joins Fabious to trek across the perilous outlands and free the princess. Joined by Isabel (Natalie Portman)-an elusive warrior with a dangerous agenda of her own-the brothers must vanquish horrific creatures and traitorous knights before they can reach Belladonna. If Thadeous can find his inner hero, he can help his brother prevent the destruction of his land. Stay a slacker, and not only does he die a coward, he gets front row seats to the dawn of an all-new Dark Ages.",English,United States,1 win & 3 nominations,https://m.media-amazon.com/images/M/MV5BMTY2MDgwODIyMV5BMl5BanBnXkFtZTcwODc1NDQ0NA@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '27%'}, {'Source': 'Metacritic', 'Value': '31/100'}]",31,5.5,"102,362",tt1240982,movie,09 Aug 2011,"$21,596,445",N/A,N/A,True,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dream House,2011,PG-13,30 Sep 2011,92 min,"Drama, Mystery, Thriller",Jim Sheridan,David Loucka,"Daniel Craig, Rachel Weisz, Naomi Watts","Some say that all houses have memories. For one man, his home is the place he would kill to forget. A family unknowingly moves into a home where several grisly murders were committed ... only to find themselves the killer's next target. Successful publisher Will Atenton (Craig) quit a job in New York City to relocate his wife, Libby (Weisz), and two girls to a quaint New England town. But as they settle into their new life, they discover their perfect home was the scene of the murder of a mother and her children. And the entire city believes it was at the hands of the husband who survived. When Will investigates the tragedy, his only lead comes from Ann Paterson (Watts), a neighbour who was close to the family that died. As Will and Ann piece together the disturbing puzzle, they discover that the story of the last man to leave Will's dream house will be just as horrifying to the one who came next.",English,"United States, Canada",2 nominations,https://m.media-amazon.com/images/M/MV5BOTMwYmU5ZjEtZmM3ZC00N2Q3LWIzMWUtODVhODE4Nzc4YzhkXkEyXkFqcGdeQXVyMTExNzQ3MzAw._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '7%'}, {'Source': 'Metacritic', 'Value': '35/100'}]",35,6.0,"67,722",tt1462041,movie,31 Jan 2012,"$21,302,340",N/A,N/A,True,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mad City,1997,PG-13,07 Nov 1997,115 min,"Crime, Drama, Thriller",Costa-Gavras,"Tom Matthews, Eric Williams","John Travolta, Dustin Hoffman, Alan Alda","Sam Baily, upset over losing his job, takes a natural history museum hostage. Max Brackett, journalist, is in the museum when this occurs, and gets the scoop. The story spreads nation wide, and soon it is all anyone talks about. The story itself is the news, not the reason why or the real people behind it.",English,United States,1 nomination,https://m.media-amazon.com/images/M/MV5BYTVhZmM5OTUtMmZlNC00YzI1LWEwOGYtNWRmYzNhOGQ1YTJkXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '36%'}, {'Source': 'Metacritic', 'Value': '45/100'}]",45,6.3,"20,372",tt0119592,movie,31 Oct 2008,"$10,541,523",N/A,N/A,True,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Baby's Day Out,1994,PG,01 Jul 1994,99 min,"Adventure, Comedy, Crime",Patrick Read Johnson,John Hughes,"Lara Flynn Boyle, Joe Mantegna, Joe Pantoliano","Baby Bink couldn't ask for more; he has adoring (if somewhat sickly-sweet) parents, he lives in a huge mansion, and he's just about to appear in the social pages of the paper. Unfortunately, not everyone in the world is as nice as Baby Bink's parents; especially the three enterprising kidnappers who pretend to be photographers from the newspaper. Successfully kidnapping Baby Bink, they have a harder time keeping hold of the rascal, who not only keeps one step ahead of them, but seems to be more than a little bit smarter than the three bumbling criminals.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BMzI3NmQ1ZDUtZWQ1My00NzlkLWE5OGQtZjZkYWJmYzYwY2QxXkEyXkFqcGdeQXVyNDQ2MTMzODA@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '19%'}]",N/A,6.2,"52,682",tt0109190,movie,29 Jan 2001,"$16,827,402",N/A,N/A,True,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,The Scarlet Letter,1995,R,13 Oct 1995,135 min,"Drama, Romance, Western",Roland Joffé,"Nathaniel Hawthorne, Douglas Day Stewart","Demi Moore, Gary Oldman, Robert Duvall","In 1666 in the Massachusetts Bay colony, Puritans and the Algonquian have an uneasy truce. Hester Prynne (Demi Moore) arrives from England, seeking independence. Awaiting her husband, she establishes independence, fixing up a house, befriending Quakers and other outsiders. Passion draws her to the young pastor, Reverend Arthur Dimmesdale (Gary Oldman). He feels the same; when they learn her husband has probably died at the hands of Indians, they consummate their love. A child is born, and on the day Hester is publicly humiliated and made to wear a scarlet letter, her husband appears after a year with Indians. Calling himself Chillingworth (Robert Duvall), he seeks revenge, searching out Hester's lover and stirring fears of witchcraft. Will his murderous plot succeed?",English,United States,1 win & 10 nominations,https://m.media-amazon.com/images/M/MV5BMTkxOWQ0OWMtY2E5YS00YjkzLWFjODQtZGY4NTQ5YmE2OGIzXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '13%'}]",N/A,5.3,"15,749",tt0114345,movie,04 Jun 2002,"$10,382,407",N/A,N/A,True,
